word,length,starts_with
ع,1,ع
ت,1,ت
ل,1,ل
و,1,و
خ,1,خ
ن,1,ن
ظ,1,ظ
ف,1,ف
ث,1,ث
ص,1,ص
ق,1,ق
ي,1,ي
غ,1,غ
س,1,س
ز,1,ز
ر,1,ر
ط,1,ط
ش,1,ش
ذ,1,ذ
ض,1,ض
م,1,م
ج,1,ج
د,1,د
ب,1,ب
ك,1,ك
ح,1,ح
